"variable_id","mz","rt","condition","polarity","mean_intensity"
"M93T979_POS",92.9481213604023,979.022216796875,0.0583750964098614,"positive",8665129.92050069
"M171T823_POS",171.017526188864,823.337310791016,0.0581437592413176,"positive",38330719.6549106
"M132T823_POS",132.004763436613,823.263977050781,0.0579383474085486,"positive",342997315.919941
"M103T374_POS",103.075396164335,373.564651489258,0.0578650692552692,"positive",153421069.783946
"M103T382_POS",103.006685257985,382.269622802734,0.0577714401558184,"positive",61073712.9510641
"M155T1013_POS",154.964660748983,1013.12588500977,0.0577000791206566,"positive",24417974.7412245
"M106T886_POS",105.971178152679,886.4111328125,0.0573499691111966,"positive",4257084.36377219
"M103T322_POS",103.006680280737,322.074600219727,0.0572398380488721,"positive",53109499.7847577
"M141T865_POS",141.01379145206,864.773712158203,0.0571301788925457,"positive",16104654.6929325
"M131T41_POS",131.081391915549,40.8176307678223,0.0569607056509504,"positive",14909948.7042487
"M165T676_POS",165.031623279787,676.188995361328,0.0568533322893027,"positive",17826467.5983953
"M176T34_1_POS",176.055543866412,34.3181762695312,0.0562795830778942,"positive",12081793.0577651
"M177T417_POS",177.054538328447,417.022003173828,0.0556634655560869,"positive",1436683.52985648
"M164T823_POS",164.030809856843,823.261138916016,0.0553392956294642,"positive",912626467.745818
"M159T35_POS",159.076512408523,34.9694061279297,0.0551580099908521,"positive",19548788.9794585
"M133T587_POS",133.101197848901,587.324890136719,0.0550569926131173,"positive",62513450.7701767
"M164T339_POS",164.031058696622,338.804260253906,0.0549806175767249,"positive",89983526.5502096
"M177T165_POS",177.054634085843,164.927581787109,0.0549775649347991,"positive",3979712.53067965
"M137T918_POS",137.029400567771,918.28759765625,0.0549024286516519,"positive",17844511.7439832
"M88T625_1_POS",88.1900575023209,625.153778076172,0.0547660478181788,"positive",1148136.98549808
"M135T756_POS",135.032789305814,755.547485351562,0.0546559167558542,"positive",51728750.7959915
"M135T417_POS",135.032868537711,417.021392822266,0.0546344155388123,"positive",34612882.7298959
"M165T975_POS",164.984509301777,974.995025634766,0.0544532478766997,"positive",33759002.0044171
"M135T865_POS",134.996424351363,865.056701660156,0.0537139039011184,"positive",792960079.468586
"M124T440_POS",123.982758870533,440.007385253906,0.0534983460893886,"positive",38780881.9765665
