variable_id,mz,rt,condition,polarity,mean_intensity
M113T144_POS,113.0961332,144.3325729,-0.052360492,positive,5601609.546
M114T34_POS,114.0660009,33.81315613,-0.017062513,positive,5423375.323
M114T126_POS,114.091443,126.1258774,0.017248459,positive,25671042.03
M114T156_POS,114.0914679,155.7827759,0.103763841,positive,16041493.6
M114T74_POS,114.1277621,74.04971695,0.063912338,positive,7070474.743
M114T356_POS,114.1278014,355.5731201,0.029996144,positive,2343468.973
M115T877_POS,114.9468737,877.0686035,-0.020749205,positive,4045298.438
M115T974_POS,114.9468634,973.8126831,0.042146795,positive,2285241.471
M115T845_POS,114.9469581,845.3365479,-0.013441004,positive,13364073.61
M115T45_POS,115.0501392,44.9765873,-0.29864257,positive,11264875.39
M115T509_POS,115.0503347,509.4453125,-0.105031971,positive,12637435.66
M115T36_2_POS,115.075397,36.1210556,0.073780291,positive,12560811.72
M115T389_POS,115.1118107,389.0728912,0.040703013,positive,2990746.237
M115T75_POS,115.1311167,74.66563416,-0.026815277,positive,31417770.4
M116T33_POS,116.0575548,33.41641998,-0.054464323,positive,6615771.044
M117T865_POS,116.9858065,865.3902588,-0.048926609,positive,1441787053
M117T1000_POS,116.9857681,999.7911072,-0.011236598,positive,871652617.4
M117T965_POS,116.9857877,965.3840027,-0.034478278,positive,1024335958
M117T908_POS,116.9858238,908.3965454,-0.024680551,positive,997980516.3
M117T941_POS,116.9857796,940.899231,-0.000904718,positive,499185070.2
M117T824_POS,116.98561,823.7841797,-0.041719159,positive,318475505.1
M117T116_POS,116.985943,116.0569305,0.018154784,positive,276941746.1
M117T46_POS,117.0573305,46.21624756,-0.300593783,positive,13406672.36
M117T279_POS,117.0573008,278.7694702,-0.049184226,positive,1461322.682
M117T569_POS,117.069931,569.3878479,0.022372179,positive,28072417.95
M117T45_POS,117.0699033,44.81842422,-0.122114348,positive,3488725.349
M118T36_POS,117.9892356,35.9704895,0.046778287,positive,13592847.79
M118T862_POS,117.9891845,861.9734497,0.037385013,positive,50004496.09
M118T42_POS,118.0650829,42.42362785,-0.208193999,positive,73518228.34
M118T209_POS,118.0651511,208.5028687,-0.009409835,positive,6925997.154
M119T838_POS,118.9789576,837.660675,-0.039549808,positive,677770313.5
M119T977_POS,119.018952,977.1774902,0.024551691,positive,70207674.77
M119T1006_POS,119.0189543,1006.115173,-0.035599158,positive,61946251.81
M119T38_POS,119.0190998,37.8482132,-0.10546518,positive,32035516.13
M119T867_POS,119.0189196,867.3332825,0.027779366,positive,118942901.1
M119T947_POS,119.0189478,946.7991943,0.112542104,positive,61878205.64
M119T895_POS,119.0189348,895.3776855,-0.00257994,positive,51087225.34
M119T918_POS,119.0189392,918.2948608,0.062545757,positive,89558639.83
M119T46_POS,119.0685002,46.16041565,-0.264136346,positive,6944317.553
M119T33_POS,119.0730608,33.07372665,-0.103335704,positive,6152630.844
M119T619_POS,119.0855684,618.5255737,-0.012238602,positive,23430576.31
M120T839_POS,119.9865596,838.8547058,-0.023642269,positive,24199896.61
M120T33_1_POS,120.038274,33.38432693,-0.022141033,positive,5727914.912
M120T33_2_POS,120.0807116,33.32400513,-0.118882043,positive,3611741228
M120T33_3_POS,120.1235748,33.10079575,-0.116265693,positive,4276070.672
M121T837_POS,120.9946082,836.7376709,-0.022907143,positive,21695181.61
M121T823_POS,121.0171365,823.2513733,0.072232646,positive,774433305.6
M121T614_POS,121.0171766,614.2797852,-0.028034254,positive,39162943.46
M121T542_POS,121.0173489,542.2964478,0.067528967,positive,21607164.76
M121T463_POS,121.0281638,462.7019653,0.033539215,positive,18424228.69
M121T676_POS,121.0171905,675.9424438,0.008896475,positive,51356069.09
M121T57_POS,121.0315364,57.14347839,-0.033746632,positive,44329216.75
M121T180_POS,121.0284044,180.0915985,-0.089064633,positive,53163075.21
M121T33_1_POS,121.0394837,32.83052254,-0.027863041,positive,1730179.664
M121T434_POS,121.0648221,434.0933075,0.032943876,positive,54781983.19
M121T33_2_POS,121.0838175,33.21156693,0.025476126,positive,83258064.67
M121T412_POS,121.1012351,412.3583069,0.043055995,positive,3186263.04
M122T825_POS,121.9871527,825.4853516,0.002252201,positive,146163628.5
